year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1964,0,1,3,2,7,6534.0,999.0,75000.0,7533.0,0.15289256198347106,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2014,3,1,4,4,7,131987.0,3529.0,615000.0,135516.0,0.026737481721684712,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,238452.14,233151.6
2006,2,2,4,3,7,10019.0,2569.0,388000.0,12588.0,0.2564128156502645,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,238452.14,233151.6
2015,2,2,5,5,7,6098.0,3314.0,1150000.0,9412.0,0.5434568711052804,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,238452.14,233151.6
1943,0,1,3,2,7,7405.0,1384.0,305000.0,8789.0,0.18690074274139096,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1966,0,1,2,1,7,8276.0,881.0,56000.0,9157.0,0.10645239246012567,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1973,2,1,3,2,7,8712.0,1537.0,75000.0,10249.0,0.1764233241505969,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1989,1,1,3,2,7,9583.0,1092.0,148000.0,10675.0,0.1139517896274653,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403943.96,233151.6
1956,0,0,0,0,10,87120.0,0.0,105000.0,87120.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2011,2,1,3,2,7,5663.0,2147.0,445000.0,7810.0,0.3791276708458414,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404470.53,568813.23
1956,0,0,0,0,10,6843.0,0.0,410000.0,6843.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586832.53,568813.23
2003,3,2,5,5,7,12197.0,4408.0,1206000.0,16605.0,0.36140034434697055,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,586832.53,568813.23
1956,0,0,0,0,10,28314.0,0.0,330000.0,28314.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,586832.53,568813.23
1973,2,1,3,2,7,9344.0,1994.0,415000.0,11338.0,0.21339897260273974,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,586832.53,568813.23
1982,0,2,1,1,2,677.0,655.0,200000.0,1332.0,0.9675036927621861,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,586832.53,568813.23
